,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
124,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Related charges,Stayed or withdrawn,v60353066,8.12.2.5.5.6,123.0
125,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Single-charge cases,Guilty,v60353232,8.12.3.5.3.3,1.0
126,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Single-charge cases,Percentage guilty,v61311930,8.12.3.5.3.4,0.09
127,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60353234,8.12.3.5.3.6,10.0
128,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60353238,8.12.3.5.4.3,15.0
129,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311931,8.12.3.5.4.4,0.52
130,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60353240,8.12.3.5.4.6,14.0
131,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Related charges,Guilty,v60353244,8.12.3.5.5.3,18.0
132,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Related charges,Percentage guilty,v61311932,8.12.3.5.5.4,0.17
133,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Related charges,Acquitted,v60353245,8.12.3.5.5.5,1.0
134,2019,Manitoba,2016A000246,Uttering threats,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60353246,8.12.3.5.5.6,84.0
135,2019,Manitoba,2016A000246,Uttering threats,Other ages,Sex unknown,Related charges,Guilty,v60353424,8.12.4.5.5.3,2.0
136,2019,Manitoba,2016A000246,Uttering threats,Other ages,Sex unknown,Related charges,Percentage guilty,v61311952,8.12.4.5.5.4,0.29
137,2019,Manitoba,2016A000246,Uttering threats,Other ages,Sex unknown,Related charges,Stayed or withdrawn,v60353426,8.12.4.5.5.6,5.0
138,2019,Manitoba,2016A000246,Criminal harassment,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60354080,8.13.2.5.4.6,1.0
139,2019,Manitoba,2016A000246,Criminal harassment,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60354260,8.13.3.5.4.6,2.0
140,2019,Manitoba,2016A000246,Criminal harassment,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60354266,8.13.3.5.5.6,1.0
141,2019,Manitoba,2016A000246,Other crimes against persons,12 to 15 years,Sex unknown,Single-charge cases,Guilty,v60355092,8.14.2.5.3.3,2.0
142,2019,Manitoba,2016A000246,Other crimes against persons,12 to 15 years,Sex unknown,Single-charge cases,Percentage guilty,v61312130,8.14.2.5.3.4,1.0
143,2019,Manitoba,2016A000246,Other crimes against persons,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60355098,8.14.2.5.4.3,3.0
144,2019,Manitoba,2016A000246,Other crimes against persons,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61312131,8.14.2.5.4.4,0.38
145,2019,Manitoba,2016A000246,Other crimes against persons,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60355100,8.14.2.5.4.6,5.0
146,2019,Manitoba,2016A000246,Other crimes against persons,12 to 15 years,Sex unknown,Related charges,Stayed or withdrawn,v60355106,8.14.2.5.5.6,8.0
147,2019,Manitoba,2016A000246,Other crimes against persons,16 and 17 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60355274,8.14.3.5.3.6,1.0
148,2019,Manitoba,2016A000246,Other crimes against persons,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60355278,8.14.3.5.4.3,2.0
149,2019,Manitoba,2016A000246,Other crimes against persons,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61312151,8.14.3.5.4.4,0.4
150,2019,Manitoba,2016A000246,Other crimes against persons,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60355280,8.14.3.5.4.6,3.0
151,2019,Manitoba,2016A000246,Other crimes against persons,16 and 17 years,Sex unknown,Related charges,Guilty,v60355284,8.14.3.5.5.3,2.0
152,2019,Manitoba,2016A000246,Other crimes against persons,16 and 17 years,Sex unknown,Related charges,Percentage guilty,v61312152,8.14.3.5.5.4,0.08
153,2019,Manitoba,2016A000246,Other crimes against persons,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60355286,8.14.3.5.5.6,22.0
154,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Single-charge cases,Guilty,v60357132,8.16.2.5.3.3,1.0
155,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Single-charge cases,Percentage guilty,v61312350,8.16.2.5.3.4,0.09
156,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60357134,8.16.2.5.3.6,10.0
157,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60357138,8.16.2.5.4.3,25.0
158,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61312351,8.16.2.5.4.4,0.83
159,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60357140,8.16.2.5.4.6,5.0
160,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Related charges,Guilty,v60357144,8.16.2.5.5.3,51.0
161,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Related charges,Percentage guilty,v61312352,8.16.2.5.5.4,0.32
162,2019,Manitoba,2016A000246,Theft,12 to 15 years,Sex unknown,Related charges,Stayed or withdrawn,v60357146,8.16.2.5.5.6,109.0
163,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Single-charge cases,Guilty,v60357312,8.16.3.5.3.3,5.0
164,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Single-charge cases,Percentage guilty,v61312370,8.16.3.5.3.4,0.26
165,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60357314,8.16.3.5.3.6,14.0
166,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60357318,8.16.3.5.4.3,30.0
167,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61312371,8.16.3.5.4.4,0.77
168,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60357320,8.16.3.5.4.6,9.0
169,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Related charges,Guilty,v60357324,8.16.3.5.5.3,66.0
170,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Related charges,Percentage guilty,v61312372,8.16.3.5.5.4,0.39
171,2019,Manitoba,2016A000246,Theft,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60357326,8.16.3.5.5.6,102.0
172,2019,Manitoba,2016A000246,Theft,Other ages,Sex unknown,Single-charge cases,Stayed or withdrawn,v60357494,8.16.4.5.3.6,2.0
173,2019,Manitoba,2016A000246,Theft,Other ages,Sex unknown,Multiple-charge cases,Guilty,v60357498,8.16.4.5.4.3,1.0
174,2019,Manitoba,2016A000246,Theft,Other ages,Sex unknown,Multiple-charge cases,Percentage guilty,v61312391,8.16.4.5.4.4,1.0
175,2019,Manitoba,2016A000246,Theft,Other ages,Sex unknown,Related charges,Guilty,v60357504,8.16.4.5.5.3,1.0
176,2019,Manitoba,2016A000246,Theft,Other ages,Sex unknown,Related charges,Percentage guilty,v61312392,8.16.4.5.5.4,0.33
177,2019,Manitoba,2016A000246,Theft,Other ages,Sex unknown,Related charges,Stayed or withdrawn,v60357506,8.16.4.5.5.6,2.0
178,2019,Manitoba,2016A000246,Break and enter,12 to 15 years,Sex unknown,Single-charge cases,Guilty,v60358152,8.17.2.5.3.3,4.0
179,2019,Manitoba,2016A000246,Break and enter,12 to 15 years,Sex unknown,Single-charge cases,Percentage guilty,v61312460,8.17.2.5.3.4,0.44
180,2019,Manitoba,2016A000246,Break and enter,12 to 15 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60358154,8.17.2.5.3.6,5.0
181,2019,Manitoba,2016A000246,Break and enter,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60358158,8.17.2.5.4.3,22.0
182,2019,Manitoba,2016A000246,Break and enter,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61312461,8.17.2.5.4.4,0.5
183,2019,Manitoba,2016A000246,Break and enter,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60358160,8.17.2.5.4.6,22.0
