,REF_DATE,Admissions,Correctional_services,Corrections,Geography,Population,Youth_corrections_per_1000_population
201,2004,Youth admissions,Supervised probation,1668.0,British Columbia,4145951,0.4023202396748056
202,2004,Youth admissions,Other community sentences,2320.0,British Columbia,4145951,0.5595821079409766
203,2005,Youth admissions,Pre-trial detention,8664.0,Ontario,12477967,0.6943438782936354
204,2005,Youth admissions,Secure custody,862.0,Ontario,12477967,0.06908176628452374
205,2005,Youth admissions,Custody and supervision (secure),857.0,Ontario,12477967,0.06868105998356944
206,2005,Youth admissions,Young Offenders Act (YOA) (secure),0.0,Ontario,12477967,0.0
207,2005,Youth admissions,Open custody,961.0,Ontario,12477967,0.07701575104341916
208,2005,Youth admissions,Custody and supervision (open),960.0,Ontario,12477967,0.07693560978322832
209,2005,Youth admissions,Young Offenders Act (YOA) (open),0.0,Ontario,12477967,0.0
210,2005,Youth admissions,Community Portion of Custody Supervision,1784.0,Ontario,12477967,0.14297200818049927
211,2005,Youth admissions,Intensive support and supervision,5.0,Ontario,12477967,0.0004007063009543141
212,2005,Youth admissions,Deferred custody and supervision,554.0,Ontario,12477967,0.04439825814573801
213,2005,Youth admissions,Supervised probation,7599.0,Ontario,12477967,0.6089934361903665
214,2005,Youth admissions,Other community sentences,2622.0,Ontario,12477967,0.21013038422044233
215,2005,Youth admissions,Pre-trial detention,1714.0,Manitoba,1177285,1.4558921586531723
216,2005,Youth admissions,Provincial director remand,228.0,Manitoba,1177285,0.1936659347566647
217,2005,Youth admissions,Secure custody,95.0,Manitoba,1177285,0.08069413948194362
218,2005,Youth admissions,Custody and supervision (secure),93.0,Manitoba,1177285,0.07899531549285008
219,2005,Youth admissions,Young Offenders Act (YOA) (secure),0.0,Manitoba,1177285,0.0
220,2005,Youth admissions,Open custody,271.0,Manitoba,1177285,0.23019065052217602
221,2005,Youth admissions,Custody and supervision (open),270.0,Manitoba,1177285,0.22934123852762925
222,2005,Youth admissions,Young Offenders Act (YOA) (open),0.0,Manitoba,1177285,0.0
223,2005,Youth admissions,Community Portion of Custody Supervision,321.0,Manitoba,1177285,0.2726612502495148
224,2005,Youth admissions,Deferred custody and supervision,153.0,Manitoba,1177285,0.12996003516565657
225,2005,Youth admissions,Supervised probation,936.0,Manitoba,1177285,0.7950496268957814
226,2005,Youth admissions,Other community sentences,731.0,Manitoba,1177285,0.6209201680136925
