,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
133,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Multiple-charge cases,Acquitted,v60351100,8.10.3.2.4.5,1.0
134,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60351102,8.10.3.2.4.6,12.0
135,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Related charges,Guilty,v60351110,8.10.3.2.5.3,24.0
136,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Related charges,Percentage guilty,v61311702,8.10.3.2.5.4,0.19
137,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Related charges,Acquitted,v60351112,8.10.3.2.5.5,18.0
138,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60351114,8.10.3.2.5.6,83.0
139,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Single-charge cases,Guilty,v60351146,8.10.3.3.3.3,6.0
140,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Single-charge cases,Percentage guilty,v61311705,8.10.3.3.3.4,0.6
141,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Single-charge cases,Stayed or withdrawn,v60351150,8.10.3.3.3.6,4.0
142,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Multiple-charge cases,Guilty,v60351158,8.10.3.3.4.3,7.0
143,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Multiple-charge cases,Percentage guilty,v61311706,8.10.3.3.4.4,0.78
144,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Multiple-charge cases,Stayed or withdrawn,v60351162,8.10.3.3.4.6,2.0
145,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Related charges,Acquitted,v60351172,8.10.3.3.5.5,4.0
146,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60351174,8.10.3.3.5.6,21.0
147,1991,Manitoba,2016A000246,Major assault,Other ages,Males,Related charges,Stayed or withdrawn,v60351294,8.10.4.2.5.6,1.0
148,1991,Manitoba,2016A000246,Major assault,Other ages,Females,Single-charge cases,Guilty,v60351326,8.10.4.3.3.3,1.0
149,1991,Manitoba,2016A000246,Major assault,Other ages,Females,Single-charge cases,Percentage guilty,v61311725,8.10.4.3.3.4,1.0
150,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Single-charge cases,Guilty,v60351926,8.11.2.2.3.3,27.0
151,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61311790,8.11.2.2.3.4,0.49
152,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Single-charge cases,Acquitted,v60351928,8.11.2.2.3.5,1.0
153,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60351930,8.11.2.2.3.6,27.0
154,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Multiple-charge cases,Guilty,v60351938,8.11.2.2.4.3,32.0
155,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311791,8.11.2.2.4.4,0.89
156,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Multiple-charge cases,Acquitted,v60351940,8.11.2.2.4.5,2.0
